RAFAEL FERNANDES LOPES;"";"Rafael Fernandes Lopes nasceu em São Luís, Maranhão, em 13 de janeiro de 1982. Possui graduação em Ciência da Computação pela Universidade Federal do Maranhão (2003), mestrado em Engenharia de Eletricidade pela mesma instituição (2006) e doutorado em Engenharia Elétrica com área de concentração em Processamento da Informação pela Universidade Federal de Campina Grande (2013). É professor Adjunto da Universidade Federal do Maranhão (UFMA), onde atua no curso de graduação em Bacharelado Interdisciplinar em Ciência e Tecnologia (BICT) e no curso de Engenharia da Computação, além de atuar como docente permanente do programa de pós-graduação stricto-sensu em Ciência da Computação na mesma universidade. Também atua como pesquisador do Instituto de Estudos Avançados em Comunicações (Iecom). É membro da Sociedade Brasileira de Computação (SBC), da Sociedade Brasileira de Telecomunicações (SBrT) e do Institute of Electrical and Electronics Engineers (IEEE), e tem atuado como membro do comitê de programa de diversas conferências nacionais e internacionais. Tem experiência e interesse nas áreas de Ciência da Computação e Engenharia Elétrica, com ênfase em Telecomunicações, Comunicações Sem Fio, Redes de Computadores e Redes Ad Hoc Móveis, atuando principalmente nos seguintes temas: Comunicações Móveis e Sem Fio, Técnicas de Diversidade em Comunicações Sem Fio, Redes Cognitivas e Redes de Sensores Sem Fio";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=3461415;http://lattes.cnpq.br/1972734433460838;3461415;3461415;1396
SERGIO SOUZA COSTA;"";"Possui doutorado e mestrado em Computação pelo Instituto Nacional de Pesquisas Espaciais.";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1763530;http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=E7182962;1763530;1763530;1396
SHIGEAKI LEITE DE LIMA;"técnicas inteligentes aplicadas a sistemas de potência (voltada a diagnóstico de falhas em transformadores de potência) e conversão de energia (voltada a fontes renováveis: solar, eólica, sistemas híbridos e maré-motriz).";"Possui graduação em Engenharia Elétrica pela Universidade Federal do Maranhão (2005), mestrado e doutorado em Sistemas de Energia (2008 e 2013 respectivamente). Realizou um Doutorado sanduíche na Faculdade de Engenharia Eletrotécnica e de Computadores da Universidade do Porto (FEUP) entre 2010-2012.";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2145844;http://lattes.cnpq.br/1754927233855300;2145844;2145844;1396
VANDECIA REJANE MONTEIRO FERNANDES;"";"";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2191327;;2191327;2191327;1396
WENER BORGES DE SAMPAIO;"Processamento de imagens.Visão computacional.Reconhecimento de padrões e aprendizado de máquina.Inteligência artificial.Computação evolutiva.Estruturas de dados.Algoritmos.Programação.";"Possui graduação em Bacharelado em Ciências da Computação pela Universidade Federal do Piauí (2005), mestrado (2009) e doutorado (2015) em Engenharia de Eletricidade, pela Universidade Federal do Maranhão, com habilitação em Computação Gráfica. Possui experiência em Ciências da Computação com ênfase em processamento de imagens, visão computacional, computação evolutiva e inteligência artificial. Atualmente é professor adjunto da Universidade Federal do Maranhão.";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2263544;http://lattes.cnpq.br/7739379729347821;2263544;2263544;1396
CARLOS ALBERTO RIOS BRITO JUNIOR;"Materiais compósitos, Fibras de Carbono.";"Doutor e Mestre em Engenharia Aeronáutica e Mecânica pelo Instituto Tecnológico de Aeronáutica (ITA-SP) na área de Materiais e Processos de Fabricação. Formação acadêmica em Engenharia Mecânica Industrial pelo CEFET (MA).";COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2152253;http://lattes.cnpq.br/5361393097872791;2152253;2152253;1395
DALMO INACIO GALDEZ COSTA;"Método dos Elementos de contornoMecânica ComputacionalAnálise EstruturalEnergias Renováveis";"Possui graduação em Engenharia Industrial Mecânica pelo Instituto Federal do Maranhão(2008), mestrado em Engenharia Mecânica pela Universidade Estadual de Campinas(2011) e doutorado em Ciências Mecânicas pela Universidade de Brasília(2015).";COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2201719;http://lattes.cnpq.br/1141843215844297;2201719;2201719;1395
ELSON CESAR MORAES;"";"";COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1776419;;1776419;1776419;1395
GLAUBER CRUZ;"Engenharias / Engenharia Mecânica / Engenharia Térmica/ Biomassa/ Emissões Gasosas/ Aproveitamento da Energia/ Fenômenos de Transporte/ Controle Ambiental/ Simulação de Sistemas Térmicos/ Termodinâmica/ Mecânica dos Fluidos.";"Doutorado em Engenharia Mecânica Universidade de São Paulo, USP, Brasil. Mestrado em Engenharia Aeronâutica e MecânicaInstituto Tecnológico de Aeronáutica, ITA, Brasil. Graduação em Engenharia Industrial Mecânica. Instituto Federal do Maranhão, IFMA, Brasil.";COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2309818;http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4718900H6;2309818;2309818;1395
JEAN ROBERT PEREIRA RODRIGUES;"";"";COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1761256;;1761256;1761256;1395
MARIA ELIZIANE PIRES DE SOUZA;"MateriaisCorrosãoRevestimentos para proteção a corrosão";"Graduada em Engenharia Química - Universidade Estadual de CampinasMestrado e Doutorado em Engenharia Mecânica- área de Materiais - Universidade Estadual de Campinas.Pós-Doutorado Universidade Estadual Paulista Júlio de Mesquita Filho, UNESP, Brasil.";COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1758776;http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=N241164;1758776;1758776;1395
VILSON SOUZA PEREIRA;"Mecânica dos Sólidos e Projetos de Máquinas";"Graduação em Eng. Mecânica - UEMADoutorado em Eng. Mecânica  - UNICAMP";COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1716945;http://lattes.cnpq.br/0619888126389689;1716945;1716945;1395
